2.23s --> 2.89s | you
3.78s --> 4.11s | you
5.75s --> 7.39s | Welcome to Gladia Advanced.
8.07s --> 9.72s | speech recognition system.
13.32s --> 15.68s | Cloudy acquisition and artificial intelligence.
16.02s --> 16.15s | Yeah.
18.10s --> 18.26s | Thank you.
18.40s --> 18.40s | So
18.41s --> 18.41s | you
19.95s --> 20.24s | you
21.15s --> 21.40s | you
22.10s --> 22.13s | Thank you.
22.80s --> 22.93s | Thank you.
25.31s --> 25.50s | Thank you.
27.60s --> 28.59s | Why is it not on yet?
28.98s --> 29.23s | you
29.96s --> 30.29s | Bye.
32.83s --> 33.16s | you
39.00s --> 39.06s | Thank you
40.16s --> 41.34s | Je ne veux pas la traduction.
41.75s --> 42.11s | Bye.
43.97s --> 44.78s | you
47.04s --> 48.39s | That's how to read the whole text.
50.27s --> 50.64s | Stay tuned.
52.87s --> 53.07s | Bye bye.
53.13s --> 53.20s | you
